Class ID,class,order,family,genus,species,image count,Geographical Spread,Role in Ecosystem,Size Distribution
529,Insecta,Lepidoptera,Crambidae,Microcrambus,elegans,4127,"United States, Canada, Mexico, Guatemala, Bahamas",,Approximately 15 to 20 mm
530,Insecta,Lepidoptera,Crambidae,Microcrambus,biguttellus,474,"United States, primarily in the Southeast",Pollinator,Approximately 12 to 20 mm wingspan when the insect is adult
531,Insecta,Lepidoptera,Crambidae,Microtheoris,vibicalis,476,Enter comma-separated list of top 5 places where this insect is found,"The role of Microtheoris vibicalis within the ecosystem is not well-documented, but as a moth, it may provide value as a pollinator or serve as a food source for other species.",Enter size in millimeter when the insect is adult
532,Insecta,Lepidoptera,Crambidae,Microtheoris,ophionalis,434,Not specified,,Not specified
533,Insecta,Lepidoptera,Crambidae,Mimoschinia,rufofascialis,532,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
534,Insecta,Lepidoptera,Crambidae,Nacoleia,rhoeoalis,999,"Australia, Java, Fiji, Samoa, Solomon Islands",Pest,Wingspan approximately 12-17 mm
535,Insecta,Lepidoptera,Crambidae,Nomophila,noctuella,1307,"Europe, Africa, Asia, North America, Oceania",Pest,20-26 mm wingspan when the insect is adult
536,Insecta,Lepidoptera,Crambidae,Nomophila,nearctica,4596,"North America, Europe, Central America, South America, Africa",Pest,15-20 millimeters
537,Insecta,Lepidoptera,Crambidae,Orocrambus,flexuosellus,564,"New Zealand, Australia",Herbivore,The wingspan is about 20-30 mm.
538,Insecta,Lepidoptera,Crambidae,Ostrinia,nubilalis,1031,"Europe, North America, Asia, North Africa",Pest,18-30 mm
539,Insecta,Lepidoptera,Crambidae,Palpita,quadristigmalis,1289,"India, China, Taiwan, Japan, Korea",Pest,Wingspan approximately 20-25 mm
540,Insecta,Lepidoptera,Crambidae,Palpita,magniferalis,1168,"India, Nepal, Taiwan, Japan, Korea",Pest,Wingspan approximately 20-35 mm
541,Insecta,Lepidoptera,Crambidae,Palpita,vitrealis,791,"Italy, Balkans, Asia Minor, Levant, Russia, Japan, China, Korea",Pest,Wing span of adult 20-25 mm
542,Insecta,Lepidoptera,Crambidae,Pantographa,limata,938,"United States, Canada, Mexico, Guatemala, Belize",Pest,The wingspan is approximately 22-28 mm for adults.
543,Insecta,Lepidoptera,Crambidae,Parapediasia,teterrellus,995,"United States, Canada, Mexico, Bermuda, Puerto Rico",Pest,17-20 mm
544,Insecta,Lepidoptera,Crambidae,Parapoynx,badiusalis,745,"North America, United States, Canada, Mexico, Cuba",Pest,Wingspan: 17-22 millimeters
545,Insecta,Lepidoptera,Crambidae,Parapoynx,diminutalis,433,"India, China, Thailand, Malaysia, Japan",Pest,Wingspan: 12-15 mm
546,Insecta,Lepidoptera,Crambidae,Parapoynx,maculalis,626,"India, China, Japan, Korea, Russia",Pest,Wingspan of approximately 20-30 mm
547,Insecta,Lepidoptera,Crambidae,Parapoynx,allionealis,710,"North America, particularly Northern United States and Canada",Pest,Wingspan: 18-22 millimeters
548,Insecta,Lepidoptera,Crambidae,Patania,ruralis,1696,"United Kingdom, Denmark, Sweden, Finland, Russia",Decomposer,20-25 millimeters
549,Insecta,Lepidoptera,Crambidae,Perispasta,caeculalis,587,"Hawaii, North America, Central America, South America, the Caribbean",Pollinator,Size ranges typically from 20 to 30 millimeters
550,Insecta,Lepidoptera,Crambidae,Petrophila,jaliscalis,1248,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
551,Insecta,Lepidoptera,Crambidae,Petrophila,bifascialis,676,"United States, Canada, Mexico, Guatemala, Honduras",Indicator species,Wingspan: 17-22 millimeters
552,Insecta,Lepidoptera,Crambidae,Pyrausta,tyralis,1065,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
553,Insecta,Lepidoptera,Crambidae,Pyrausta,aurata,1924,"United Kingdom, Ireland, France, Spain, Greece",Pollinator,15-20 mm
554,Insecta,Lepidoptera,Crambidae,Pyrausta,inornatalis,1316,"United States, Canada, Mexico, Cuba, Bahamas",Pollinator,Wingspan ranges from 18 to 22 millimeters
555,Insecta,Lepidoptera,Crambidae,Pyrausta,acrionalis,1240,Not specified,Pollinator,Not specified
556,Insecta,Lepidoptera,Crambidae,Pyrausta,purpuralis,720,"United Kingdom, Ireland, France, Spain, Germany",Pollinator,18-22 mm
557,Insecta,Lepidoptera,Crambidae,Pyrausta,signatalis,512,Not specified,,Not specified
558,Insecta,Lepidoptera,Crambidae,Pyrausta,volupialis,788,Not specified,Not specified,Not specified
559,Insecta,Lepidoptera,Crambidae,Pyrausta,despicata,2122,"United Kingdom, France, Ireland, Spain, Portugal",,Wingspan approx. 18-22 mm
560,Insecta,Lepidoptera,Crambidae,Pyrausta,bicoloralis,604,Not specified,Not specified,Not specified
561,Insecta,Lepidoptera,Crambidae,Pyrausta,laticlavia,1015,"United States, Mexico, Bermuda, Bahamas, Cuba",Pollinator,17-20 mm
562,Insecta,Lepidoptera,Crambidae,Pyrausta,orphisalis,675,"United States, Canada, Mexico, Cuba, Dominican Republic",Pollinator,Wingspan approximately 18-22 millimeters
563,Insecta,Lepidoptera,Crambidae,Samea,multiplicalis,662,"United States, Mexico, Central America, South America, West Indies",Pest,Wing span of approximately 20-22 mm
564,Insecta,Lepidoptera,Crambidae,Samea,baccatalis,682,"Place1, Place2, Place3, Place4, Place5","Unknown (e.g., pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species)",Information currently unavailable
565,Insecta,Lepidoptera,Crambidae,Samea,ecclesialis,1113,"Brazil, Costa Rica, Jamaica, Mexico, United States",Pest,Wingspan measures approximately 20-22 mm
566,Insecta,Lepidoptera,Crambidae,Sameodes,cancellalis,564,"India, Sri Lanka, Myanmar, Malaysia, Indonesia",Pest,20-25 mm wingspan
567,Insecta,Lepidoptera,Crambidae,Scoparia,biplagialis,1347,"United Kingdom, Ireland, The Netherlands, Belgium, France",Decomposer,Wingspan approximately 18-22 mm
568,Insecta,Lepidoptera,Crambidae,Sitochroa,palealis,1699,"Europe, North Africa, Asia Minor, Central Asia, North America",Pest,20-30 mm wingspan
569,Insecta,Lepidoptera,Crambidae,Spoladea,recurvalis,6994,"Hawaii, Australia, Africa, Asia, North America",Pest,18-22 millimeters
570,Insecta,Lepidoptera,Crambidae,Syngamia,florella,1278,"United States, Mexico, West Indies, Central America, South America",Pollinator,Approximately 25-30 millimeters in wingspan
571,Insecta,Lepidoptera,Crambidae,Udea,rubigalis,5827,"United States, Southern Canada, Europe, Asia, North Africa",Pest,18-22 mm wingspan when the insect is adult
572,Insecta,Lepidoptera,Crambidae,Udea,ferrugalis,1184,"Europe, Africa, India, Japan, Australia",Pest,18-23
573,Insecta,Lepidoptera,Crambidae,Uresiphita,reversalis,1941,"United States, Canada, Mexico, Costa Rica, Panama",Pest,20-30 millimeters
574,Insecta,Lepidoptera,Crambidae,Urola,nivalis,2914,Not specified,,Not specified
575,Insecta,Diptera,Culicidae,Aedes,vexans,825,"North America, Europe, Asia, Africa, Australia",Pest,5-6 mm
576,Insecta,Diptera,Culicidae,Aedes,albopictus,3552,"Asia, Southern Europe, North and South America, Africa, Australia","Invasive species, Pest",2 to 10 millimeters
577,Insecta,Diptera,Culicidae,Aedes,aegypti,2150,"Tropical and subtropical regions worldwide such as Brazil, Mexico, Argentina, Southeast United States, and parts of Asia and Africa",Pest,4-7 millimeters
578,Insecta,Diptera,Culicidae,Culex,quinquefasciatus,790,"Africa, Americas, Asia, Australia, Southern Europe",Pest,3.96 to 4.25 mm
579,Insecta,Diptera,Culicidae,Psorophora,ciliata,1125,"United States, Canada, Central America, South America, Caribbean",Predator,Approximately 6-7 millimeters when the insect is adult
580,Insecta,Coleoptera,Curculionidae,Cactophagus,spinolae,634,"Mexico, United States, Central America, South America",Pest,Approximately 19–28 mm
581,Insecta,Coleoptera,Curculionidae,Cyrtepistomus,castaneus,1915,"Japan, China, Korea, Russia, United States",Pest,Approximately 5 to 8 millimeters
582,Insecta,Coleoptera,Curculionidae,Diaprepes,abbreviatus,791,"Puerto Rico, United States, Caribbean islands, Central America, South America",Pest,10-19 millimeters
583,Insecta,Coleoptera,Curculionidae,Larinus,carlinae,696,"Europe, Western Asia, North Africa, North America",Pest,Approximately 7-8 mm
584,Insecta,Coleoptera,Curculionidae,Otiorhynchus,sulcatus,2674,"Europe, North America, Asia, South America, Oceania",Pest,8-11 millimeters
585,Insecta,Coleoptera,Curculionidae,Pantomorus,cervinus,1550,"United States, Mexico, South America, Mediterranean, Australia",Pest,8-9 mm
586,Insecta,Coleoptera,Curculionidae,Phyllobius,pomaceus,1506,"United Kingdom, Germany, Poland, France, Russia",Pest,5-8 mm
587,Insecta,Coleoptera,Curculionidae,Polydrusus,formosus,3780,"Europe, Asia, North America, United Kingdom, Canada",Pest,4.5–6 mm
588,Insecta,Coleoptera,Curculionidae,Rhodobaenus,quinquepunctatus,701,"United States, Mexico, Central America, West Indies, South America",Pest,Approximately 5 to 7 mm
589,Insecta,Coleoptera,Curculionidae,Rhynchophorus,ferrugineus,784,"Middle East, South Asia, Southeast Asia, Southern Europe, North Africa, Oceania",Pest,30-40 mm
590,Insecta,Hemiptera,Cydnidae,Sehirus,cinctus,2771,"United States, Canada, Mexico, Europe, and Asia",Predator,Approximately 7 mm
591,Insecta,Hymenoptera,Cynipidae,Amphibolips,quercusjuglans,1261,"Eastern United States, particularly in the Midwest",Gall inducer,Approximately 1-2 mm
592,Insecta,Hymenoptera,Cynipidae,Amphibolips,quercuspomiformis,1521,"Eastern United States, Southeastern United States, Texas, Florida, Georgia",Pest,2-3 mm
593,Insecta,Hymenoptera,Cynipidae,Amphibolips,confluenta,1856,"Eastern United States, Pennsylvania, New Jersey, Virginia, North Carolina, Georgia",Pest,Approximately 4 to 8 mm
594,Insecta,Hymenoptera,Cynipidae,Andricus,quercuscalifornicus,3416,"California, Oregon, Washington, British Columbia, Nevada",Pest,2-3 mm
595,Insecta,Hymenoptera,Cynipidae,Andricus,kingi,1253,"United States, Canada",Pest,2-3 mm
596,Insecta,Hymenoptera,Cynipidae,Callirhytis,seminator,1938,"Eastern United States, particularly in the state of Georgia, South Carolina, North Carolina, Virginia, and Tennessee",Pest,Approximately 2 to 3 millimeters
597,Insecta,Hymenoptera,Cynipidae,Cynips,douglasii,1096,"USA, Canada, Mexico, parts of Europe, Asia",Pest,Approximately 3 to 8 mm
598,Insecta,Hymenoptera,Cynipidae,Diplolepis,polita,1094,"Eastern North America, Canada, United States, Mexico, Central America",Pest,Approximately 3 to 8 mm
599,Insecta,Hymenoptera,Cynipidae,Diplolepis,rosae,3717,"Europe, North America, Asia, North Africa, New Zealand",Parasitoid,2-3 millimeters
600,Insecta,Lepidoptera,Depressariidae,Agonopterix,alstroemeriana,129,"United Kingdom, Ireland, Denmark, Sweden, Finland",Herbivore,18-25 mm
601,Insecta,Lepidoptera,Depressariidae,Carcina,quercana,523,"United Kingdom, Ireland, France, Germany, Denmark",pest,approx. 10-20mm
602,Insecta,Lepidoptera,Depressariidae,Machimia,tentoriferella,848,"Eastern United States, Canada, Ontario, Quebec, Florida",Pest,Approximately 17 to 20 millimeters in wingspan
603,Insecta,Coleoptera,Dermestidae,Anthrenus,verbasci,4357,"Europe, North America, Asia, Africa, Australasia",Pest,2-4 mm
604,Insecta,Coleoptera,Dermestidae,Dermestes,lardarius,1353,"Europe, North America, Asia, Africa, Australia",Decomposer,7-9 mm
605,Insecta,Phasmida,Diapheromeridae,Diapheromera,femorata,3009,"United States, Canada, Mexico, France, Italy",Herbivore,50-100 mm
606,Insecta,Phasmida,Diapheromeridae,Megaphasma,denticrus,888,"United States, Mexico, Puerto Rico, Costa Rica, Panama",Decomposer,120-140 millimeters
607,Insecta,Hymenoptera,Diprionidae,Diprion,similis,1168,"United States, Canada, Europe, Asia, North Africa",Pest,"Adult females are about 12-20 mm, and males are 9-12 mm"
608,Insecta,Lepidoptera,Drepanidae,Drepana,arcuata,2176,"United Kingdom, Netherlands, Germany, France, Russia",Pollinator,20-25 millimeters
609,Insecta,Lepidoptera,Drepanidae,Drepana,falcataria,565,"United Kingdom, France, Germany, Russia, Northern China",,Approximately 30-35 mm wingspan
610,Insecta,Lepidoptera,Drepanidae,Drepana,bilineata,736,"Eastern North America, Southeastern Canada, Northeastern United States, Great Lakes region, Appalachians",Decomposer,Approximately 30-35 mm wingspan
611,Insecta,Lepidoptera,Drepanidae,Habrosyne,pyritoides,632,"United Kingdom, France, Spain, Germany, Russia",Indicator species,30-35 mm wingspan
612,Insecta,Lepidoptera,Drepanidae,Habrosyne,scripta,1167,"Northeastern North America, Southeastern Canada, Northeastern United States, Great Lakes region, Appalachian region",Pollinator,Approximately 40-50 millimeters
613,Insecta,Lepidoptera,Drepanidae,Oreta,rosea,1120,"India, Nepal, Sri Lanka, Myanmar, and Thailand",Pollinator,Wingspan ranges from 20 to 25 millimeters
614,Insecta,Lepidoptera,Drepanidae,Pseudothyatira,cymatophoroides,1169,Enter comma separated list of top 5 places where this insect is found,,Enter size in millimeter when the insect is adult
615,Insecta,Lepidoptera,Drepanidae,Thyatira,batis,900,"United Kingdom, Ireland, France, Spain, Germany",Pollinator,25-30 mm
616,Insecta,Lepidoptera,Drepanidae,Watsonalla,binaria,486,"United Kingdom, France, Germany, Poland, Spain",,Wingspan of 24-30 millimeters
617,Insecta,Lepidoptera,Drepanidae,Watsonalla,cultraria,221,"United Kingdom, France, Spain, Portugal, Belgium",Pollinator,Approximately 30-35 millimeters wingspan when the insect is adult
618,Insecta,Blattodea,Ectobiidae,Pseudomops,septentrionalis,876,"United States, Mexico, Costa Rica, Panama, West Indies",Decomposer,10-15 millimeters
619,Insecta,Coleoptera,Elateridae,Agrypnus,murinus,1833,"Europe, North Africa, Middle East, Central Asia",Decomposer,12-30 mm
620,Insecta,Coleoptera,Elateridae,Alaus,lusciosus,432,"Texas, Mississippi, Alabama, Louisiana, Florida",Predator,25-45 mm
621,Insecta,Coleoptera,Elateridae,Alaus,oculatus,5417,"United States, Canada, Mexico, West Indies, Central America",Predator,25 to 45
622,Insecta,Mantodea,Empusidae,Empusa,pennata,1184,"Spain, France, Portugal, Greece, Italy",Predator,70-85 millimeters
623,Insecta,Ephemeroptera,Ephemeridae,Hexagenia,limbata,819,"North America, Canada, United States, Mexico, Northern Central America",Indicator species,25-35 mm
624,Insecta,Lepidoptera,Erebidae,Achaea,janata,695,"India, Sri Lanka, Southeast Asia, Australia, Pacific Islands",Pest,Approximately 40-50 millimeters in wingspan
625,Insecta,Lepidoptera,Erebidae,Allotria,elonympha,561,"Eastern United States, Ontario, Quebec, Nova Scotia, Florida",Pollinator,Wingspan ranges from 35 to 50 millimeters
626,Insecta,Lepidoptera,Erebidae,Amata,huebneri,1144,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
627,Insecta,Lepidoptera,Erebidae,Amata,phegea,1850,"Europe, the Caucasus, Armenia, Asia Minor, Iran, Siberia, Central Asia, North Africa",Pollinator,30-35 mm wingspan
628,Insecta,Lepidoptera,Erebidae,Anticarsia,gemmatalis,2133,"Brazil, Argentina, United States, Costa Rica, Puerto Rico",Pest,Approximately 35-40 mm
629,Insecta,Lepidoptera,Erebidae,Apantesis,virguncula,660,"United States, Canada, Northeastern Mexico, Great Lakes region, Rocky Mountains",Pollinator,Approximately 30-35 mm in wingspan
630,Insecta,Lepidoptera,Erebidae,Apantesis,phalerata,1016,"United States, Canada, Mexico, Guatemala, Honduras",Pollinator,Approximately 50 millimeters when the insect is adult
631,Insecta,Lepidoptera,Erebidae,Apantesis,proxima,662,"Mexico, Southern Texas, Southern Arizona, Southern California, and parts of Central America",Pollinator,Approximately 30-50 millimeters in wingspan
632,Insecta,Lepidoptera,Erebidae,Apantesis,parthenice,507,"United States, Canada, Mexico, Northern America, North-eastern America",Pollinator,Approximately 30-50 mm wingspan
633,Insecta,Lepidoptera,Erebidae,Apantesis,virgo,1052,"North America, Canada, Mexico, United States, Northern Europe",Pollinator,Approximately 50-70 millimeters in wingspan
634,Insecta,Lepidoptera,Erebidae,Apantesis,ornata,760,"United States, Canada, Mexico, Costa Rica, Panama",Pollinator,Approximately 50-70 millimeters in wingspan
635,Insecta,Lepidoptera,Erebidae,Apantesis,arge,449,"United States, Canada, Mexico, Costa Rica, Panama",Pollinator,45-65 mm
636,Insecta,Lepidoptera,Erebidae,Arachnis,picta,500,"Western United States, British Columbia, Oregon, California, Nevada, New Mexico",Pollinator,Approximately 50-75 millimeters wingspan when the insect is adult
637,Insecta,Lepidoptera,Erebidae,Arctia,virginalis,480,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
638,Insecta,Lepidoptera,Erebidae,Arctia,parthenos,536,"Canada, United States, particularly in the Great Lakes region",Pollinator,Wing span range is 45-65 millimeters
639,Insecta,Lepidoptera,Erebidae,Arctia,plantaginis,498,"Europe, Spain, France, Scandinavia, Russia, Asia",Pollinator,40-52 millimeters
640,Insecta,Lepidoptera,Erebidae,Arctia,caja,2420,"United Kingdom, Ireland, Scandinavia, Russia, Northern Asia",Pollinator,45-65 millimeters (wingspan)
641,Insecta,Lepidoptera,Erebidae,Arctia,villica,1381,"United Kingdom, France, Spain, Italy, Central Europe",Pollinator,Approximately 45-55 millimeters in wingspan
642,Insecta,Lepidoptera,Erebidae,Ascalapha,odorata,7389,"Brazil, Mexico, United States, West Indies, Central America",,100-160 millimeters
643,Insecta,Lepidoptera,Erebidae,Asota,heliconia,391,"Australia, Indonesia, Malaysia, Thailand, Singapore",Pest,Approximately 40-50 mm in wingspan
644,Insecta,Lepidoptera,Erebidae,Asota,caricae,584,"Australia, Indonesia, Malaysia, Thailand, Singapore",Pest,Approximately 40-50 mm in wingspan
645,Insecta,Lepidoptera,Erebidae,Atolmis,rubricollis,520,"United Kingdom, France, Spain, Portugal, Italy",Decomposer,Approximately 30-35 mm in wingspan
646,Insecta,Lepidoptera,Erebidae,Bleptina,caradrinalis,1202,"United States, Canada, Mexico, Costa Rica, Panama",,Approximately 20-25 mm in wingspan
647,Insecta,Lepidoptera,Erebidae,Brunia,antica,318,Location data not available,"Unknown role, classification not available",Size not documented
648,Insecta,Lepidoptera,Erebidae,Bulia,deducta,484,"United States, Mexico, Central America, South America, Caribbean",,Approximately 30-35 millimeters
649,Insecta,Lepidoptera,Erebidae,Caenurgia,chloropha,1088,"North America, United States, Canada, Mexico, Northern parts of Central America",Pest,Wingspan approximately 25-30 mm
650,Insecta,Lepidoptera,Erebidae,Caenurgina,erechtea,2179,"United States, Canada, Mexico, Guatemala, Panama",Pest,30-38 mm
651,Insecta,Lepidoptera,Erebidae,Caenurgina,crassiuscula,807,"North America, particularly the United States and Canada",Herbivore,Approximately 25-30 mm in wingspan
652,Insecta,Lepidoptera,Erebidae,Callimorpha,dominula,1341,"United Kingdom, Western Europe, Central Europe, Southern Europe, Asia Minor",Pollinator,45-55 mm wingspan when the insect is adult
653,Insecta,Lepidoptera,Erebidae,Callistege,mi,686,"United Kingdom, Ireland, Central Europe, Northern Europe, Northern Asia",Pollinator,Wingspan of about 30-35 millimeters when the insect is adult
654,Insecta,Lepidoptera,Erebidae,Calliteara,pudibunda,3231,"United Kingdom, France, Germany, Denmark, Russia",Pollinator,Approximately 25-30 millimeters
655,Insecta,Lepidoptera,Erebidae,Catocala,ultronia,1235,"United States, Canada, Mexico, parts of Central America, occasionally in the Northern part of South America",Pollinator,Approximately 50-75 millimeters in wingspan
656,Insecta,Lepidoptera,Erebidae,Catocala,ilia,1927,Enter comma-separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
657,Insecta,Lepidoptera,Erebidae,Catocala,piatrix,796,Enter a comma-separated list of the top 5 places where this insect is found,Indicator species,Enter size in millimeters when the insect is an adult
658,Insecta,Lepidoptera,Erebidae,Catocala,concumbens,554,"Northeastern United States, Southeastern Canada, Great Lakes region, Appalachian Mountains, New England",Pollinator,Approximately 70-90 millimeters in wingspan
659,Insecta,Lepidoptera,Erebidae,Catocala,relicta,1324,"Canada, United States, Alaska, Northeastern states, Midwest states",Pollinator,70-90 millimeters
660,Insecta,Lepidoptera,Erebidae,Catocala,amatrix,854,"Northeastern United States, Southeastern Canada, Great Lakes region, North Carolina, Georgia",Indicator species,Approximately 70-90 millimeters in wingspan
661,Insecta,Lepidoptera,Erebidae,Catocala,grynea,447,"United States, Canada, Mexico, Guatemala, El Salvador","It serves primarily as a pollinator due to its nocturnal behaviors, as well as a food source for predators.",Approximately 65-75 millimeters in wingspan when the insect is adult
662,Insecta,Lepidoptera,Erebidae,Catocala,cara,545,"Southeastern Canada, Northeastern United States, Great Lakes region, New England, Mid-Atlantic States",Decomposer,Wingspan ranges from 65 to 75 millimeters when the insect is adult
663,Insecta,Lepidoptera,Erebidae,Catocala,micronympha,788,"Eastern North America, including New York, Pennsylvania, North Carolina, New Jersey, Massachusetts",Pollinator,Approximately 40-50 mm wingspan when the insect is adult
664,Insecta,Lepidoptera,Erebidae,Catocala,nupta,958,"United Kingdom, France, Germany, Poland, Russia",Pollinator,Approximately 63 to 77 millimeters in wingspan when the insect is adult
665,Insecta,Lepidoptera,Erebidae,Catocala,lineella,458,Enter comma separated list of top 5 places where this insect is found,Indicator species,Enter size in millimeter when the insect is adult
666,Insecta,Lepidoptera,Erebidae,Catocala,maestosa,1225,"United States, Canada, Mexico, parts of Central America, occasionally in South America",Pollinator,Approximately 70-90 millimeters in wingspan
667,Insecta,Lepidoptera,Erebidae,Catocala,vidua,427,"Eastern United States, including New York, Pennsylvania, Missouri, Oklahoma, Texas",Pollinator,Approximately 50-70 millimeters wingspan when the insect is adult
668,Insecta,Lepidoptera,Erebidae,Catocala,neogama,938,"United States, Canada, Ontario, Quebec, Nova Scotia",Pollinator,70-90 millimeters
669,Insecta,Lepidoptera,Erebidae,Chytolita,morbidalis,1628,"Eastern United States, Southeastern Canada, Northeastern Mexico, Costa Rica, Panama",,Wingspan approximately 20-30 mm
670,Insecta,Lepidoptera,Erebidae,Cisseps,fulvicollis,6524,"United States, Canada, Mexico, Guatemala, Honduras",Pollinator,Wing span approximately 35-50 mm
671,Insecta,Lepidoptera,Erebidae,Cisthene,plumbea,652,"United States, Canada, Northeastern Mexico, Great Lakes region, Appalachian region",Pollinator,Wingspan approximately 20-25 mm
672,Insecta,Lepidoptera,Erebidae,Cisthene,tenuifascia,828,"United States, Mexico, Panama, Colombia, Venezuela",Decomposer,Wingspan ranges from 18 to 22 millimeters
673,Insecta,Lepidoptera,Erebidae,Clemensia,albata,883,"United States, Canada, Mexico, Guatemala, Honduras",Decomposer,16-23 mm wingspan when the insect is adult
674,Insecta,Lepidoptera,Erebidae,Crambidia,pallida,499,Enter comma-separated list of top 5 places where this insect is found,"Most moths are pollinators, however specific role of 'Crambidia pallida' needs further research",Enter size in millimeters when the insect is an adult
675,Insecta,Lepidoptera,Erebidae,Creatonotos,transiens,604,"Southeast Asia, India, Japan, Australia, parts of Africa",Pest,Wingspan of 40-70 millimeters when the insect is adult
676,Insecta,Lepidoptera,Erebidae,Creatonotos,gangis,334,"Southeast Asia, Australia, South Pacific islands",Pest,40-50 millimeters in wingspan
677,Insecta,Lepidoptera,Erebidae,Ctenucha,virginica,5893,"Eastern Canada, Northeastern United States, Great Lakes region, Southeastern United States, Gulf of Mexico region",Pollinator,Approximately 25-30 millimeters
678,Insecta,Lepidoptera,Erebidae,Cycnia,collaris,446,"Canada, United States, Mexico",Pollinator,Wingspan ranges from 45 to 55 millimeters
679,Insecta,Lepidoptera,Erebidae,Cycnia,tenera,1960,"United States, Canada, Mexico, Costa Rica, Guatemala",Pollinator,Approximately 25-30 millimeters in wingspan
680,Insecta,Lepidoptera,Erebidae,Cyligramma,latona,572,"Sub-Saharan Africa, South Africa, Madagascar, Yemen, Saudi Arabia, Namibia",Pollinator,Approximately 70-90 millimeters wingspan when the insect is adult
681,Insecta,Lepidoptera,Erebidae,Dasychira,chekiangensis,412,Enter comma separated list of top 5 places where this insect is found,Pest,Enter size in millimeter when the insect is adult
682,Insecta,Lepidoptera,Erebidae,Dasypodia,cymatodes,385,"Australia, particularly Northern Territory, Queensland, New South Wales, Victoria, South Australia",Pollinator,Approximately 60mm wingspan when the insect is adult
683,Insecta,Lepidoptera,Erebidae,Diacrisia,sannio,1024,"Europe, North Asia, Central Asia, Western Siberia, Kazakhstan",Pollinator,Approximately 40-50 millimeters
684,Insecta,Lepidoptera,Erebidae,Dysgonia,algira,833,"Southern Europe, Africa, Asia Minor, Iraq, Iran, Arabian Peninsula",,Approximately 50-60 millimeters wingspan when the insect is adult
685,Insecta,Lepidoptera,Erebidae,Dysschema,howardi,326,Enter comma-separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeters when the insect is an adult
686,Insecta,Lepidoptera,Erebidae,Eilema,depressa,538,"United Kingdom, Ireland, Norway, France, Germany",Decomposer,Approximately 30-35 mm
687,Insecta,Lepidoptera,Erebidae,Eilema,sororcula,577,"United Kingdom, France, Spain, Portugal, Italy",Decomposer,Approximately 30-35 millimeters
688,Insecta,Lepidoptera,Erebidae,Eilema,lurideola,786,"United Kingdom, Ireland, France, Germany, Russia",Pollinator,Approximately 30-35 millimeters
689,Insecta,Lepidoptera,Erebidae,Erebus,ephesperis,495,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
690,Insecta,Lepidoptera,Erebidae,Estigmene,acrea,8183,"United States, Canada, Mexico, Costa Rica, Venezuela",Pest,Approximately 45-50 millimeters
691,Insecta,Lepidoptera,Erebidae,Eubolina,impartialis,645,"Brazil, Paraguay, Argentina, Uruguay, Southeastern United States",Pollinator,Wingspan of approximately 20-30 millimeters
692,Insecta,Lepidoptera,Erebidae,Euchaetes,egle,7835,"United States, Mexico, Southern Canada, Northeastern South America, Central America",Pollinator,Approximately 45-55 millimeters in wingspan
693,Insecta,Lepidoptera,Erebidae,Euclidia,glyphica,2448,"Western Europe, Central Europe, Northern Europe, the British Isles, Scandinavia",Pollinator,Wingspan of 30-35 millimeters when the insect is adult
694,Insecta,Lepidoptera,Erebidae,Euclidia,cuspidea,413,Enter comma separated list of top 5 places where this insect is found,Indicator species,Enter size in millimeter when the insect is adult
695,Insecta,Lepidoptera,Erebidae,Eudocima,phalonia,830,"Australia, Japan, India, Sri Lanka, Madagascar",Pest,Approximately 40-50 mm in wingspan
696,Insecta,Lepidoptera,Erebidae,Euparthenos,nubilis,410,"United States, Canada, Mexico, Guatemala, Panama",Indicator species,Approximately 40-50 mm in wingspan
697,Insecta,Lepidoptera,Erebidae,Euplagia,quadripunctaria,4492,"Europe, Turkey, Caucasus, Transcaucasia, Iraq, Iran, North Africa",Pollinator,52-65 millimeters
698,Insecta,Lepidoptera,Erebidae,Euproctis,chrysorrhoea,1014,"Eastern Europe, North Africa, the Middle East, North America",Pest,Approximately 30-35 millimeters wing span when the insect is adult
699,Insecta,Lepidoptera,Erebidae,Gnophaela,vermiculata,948,"Western United States, California, Oregon, Washington, Montana, Idaho",Pollinator,Approximately 40-50 mm
